Island,Date,Genus,Species,Species whole,Latitude,Longitude,Datum,Record type,Collector,Method,Comments,Description,Class,Order,Family,Institution,Expedition
Adolphus ,16 Aug 2008,Nyctophilus,arnhemensis,Nyctophilus arnhemensis,-15.07833,128.14111,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is Site2 16Aug08 x16.mp3  Call ID by: NMcK,"Adolphus Island, site 1. At Camp2 in open woodland at foot of Pkp scree slope ",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,10 Aug 2008,Nyctophilus,arnhemensis,Nyctophilus arnhemensis,-15.10861,128.15306,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is site1 10Aug08 X16.mp3  Call ID by: RB,"Adolphus Island, site 3. Dry rocky creek line with scattered vine thicket trees to 5m - steep heavy boulder slopes both sides",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,16 Aug 2008,Nyctophilus,walkeri,Nyctophilus walkeri,-15.07833,128.14111,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is Site2 16Aug08 x16.mp3  Call ID by: NMcK,"Adolphus Island, site 1. At Camp2 in open woodland at foot of Pkp scree slope ",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,15 Aug 2008,Nyctophilus,walkeri,Nyctophilus walkeri,-15.08306,128.14111,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolophus Is site2 15Aug08 X16.mp3  Call ID by: RB,"Adolphus Island, site 2. Dry creek bed lined by paperbark trees. A salt water pool is approx 10m away.",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,09 Aug 2008,Pipistrellus,westralis,Pipistrellus westralis,-15.10556,128.15639,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is site1 9Aug08 x16.mp3  Call ID by: RB&NMcK,"Adolphus Island, site 4. Dry creek line in Euc tall woodland",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,16 Aug 2008,Scotorepens,greyi,Scotorepens greyi,-15.07833,128.14111,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is Site2 16Aug08 x16.mp3  Call ID by: NMcK,"Adolphus Island, site 1. At Camp2 in open woodland at foot of Pkp scree slope ",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,15 Aug 2008,Scotorepens,greyi,Scotorepens greyi,-15.08306,128.14111,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolophus Is site2 15Aug08 X16.mp3  Call ID by: RB,"Adolphus Island, site 2. Dry creek bed lined by paperbark trees. A salt water pool is approx 10m away.",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,16 Aug 2008,Taphozous,georgianus,Taphozous georgianus,-15.07833,128.14111,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is Site2 16Aug08 x16.mp3  Call ID by: NMcK,"Adolphus Island, site 1. At Camp2 in open woodland at foot of Pkp scree slope ",MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,15 Aug 2008,Taphozous,georgianus,Taphozous georgianus,-15.08306,128.14111,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolophus Is site2 15Aug08 X16.mp3  Call ID by: RB,"Adolphus Island, site 2. Dry creek bed lined by paperbark trees. A salt water pool is approx 10m away.",MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,10 Aug 2008,Taphozous,georgianus,Taphozous georgianus,-15.10861,128.15306,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is site1 10Aug08 X16.mp3  Call ID by: RB,"Adolphus Island, site 3. Dry rocky creek line with scattered vine thicket trees to 5m - steep heavy boulder slopes both sides",MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,09 Aug 2008,Taphozous,georgianus,Taphozous georgianus,-15.10556,128.15639,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is site1 9Aug08 x16.mp3  Call ID by: RB&NMcK,"Adolphus Island, site 4. Dry creek line in Euc tall woodland",MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,10 Aug 2008,Vespadelus,douglasorum,Vespadelus douglasorum,-15.10861,128.15306,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is site1 10Aug08 X16.mp3  Call ID by: RB,"Adolphus Island, site 3. Dry rocky creek line with scattered vine thicket trees to 5m - steep heavy boulder slopes both sides",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,09 Aug 2008,Vespadelus,douglasorum,Vespadelus douglasorum,-15.10556,128.15639,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is site1 9Aug08 x16.mp3  Call ID by: RB&NMcK,"Adolphus Island, site 4. Dry creek line in Euc tall woodland",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,22 May 2008,Chaerephon,jobensis,Chaerephon jobensis,-15.34611,124.53056,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is May08 x16.mp3  Tape2 AN Start     Call ID by: NMcK,"Augustus I. N valley, site 5. Pkw boulder valley at confluence of 2 creeks; big lillipond pools & riparian paperbark",MAMMALIA,CHIROPTERA,MOLOSSIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,23 May 2008,Chaerephon,jobensis,Chaerephon jobensis,-15.34611,124.53083,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is 23May08 ANStart x16.mp3  Call ID by: NMcK,"Augustus I. N valley, site 5. Pkw boulder valley at confluence of 2 creeks; big lillipond pools & riparian paperbark",MAMMALIA,CHIROPTERA,MOLOSSIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,31 May 2009,Chaerephon,jobensis,Chaerephon jobensis,-15.38861,124.59278,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is site2 31May2008 LGibson tall paperbarks on waterhole x16.mp4  Call ID by: NMcK,"Augustus Island, site 6. Tall paperbarks on waterhole in creek between Pkw hills",MAMMALIA,CHIROPTERA,MOLOSSIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,22 May 2008,Chalinolobus,nigrogriseus,Chalinolobus nigrogriseus,-15.34611,124.53056,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is May08 x16.mp3  Tape2 AN Start     Call ID by: NMcK,"Augustus I. N valley, site 5. Pkw boulder valley at confluence of 2 creeks; big lillipond pools & riparian paperbark",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,23 May 2008,Chalinolobus,nigrogriseus,Chalinolobus nigrogriseus,-15.34611,124.53083,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is 23May08 ANStart x16.mp3  Call ID by: NMcK,"Augustus I. N valley, site 5. Pkw boulder valley at confluence of 2 creeks; big lillipond pools & riparian paperbark",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,31 May 2008,Chalinolobus,nigrogriseus,Chalinolobus nigrogriseus,-15.38861,124.59278,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is site2 31May2008 LGibson tall paperbarks on waterhole x16.mp3  Call ID by: NMcK,"Augustus Island, site 6. Tall paperbarks on waterhole in creek between Pkw hills",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,13 Feb 2009,Chalinolobus,nigrogriseus,Chalinolobus nigrogriseus,-15.34806,124.52972,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is site1 creek-camp 13Feb09 X16.wav   Call ID by: RB,"Augustus Island, site 8. A wide, fast flowing creek with tall paperbarks, otherwise open",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,12 Feb 2009,Chalinolobus,nigrogriseus,Chalinolobus nigrogriseus,-15.38889,124.59250,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is site2 12Feb09 X16.wav  Call ID by: RB,"Augustus Island, site 9. Flowing creek line through low veg, otherwise open",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,31 May 2008,Macroderma,gigas,Macroderma gigas,-15.38861,124.59278,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is site2 31May2008 LGibson tall paperbarks on waterhole x16.mp6  Call ID by: NMcK,"Augustus Island, site 6. Tall paperbarks on waterhole in creek between Pkw hills",MAMMALIA,CHIROPTERA,MEGADERMATIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,01 Jun 2008,Miniopterus,schreibersii,Miniopterus schreibersii,-15.38972,124.59306,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is site 2 1June08 LGibson flowing creek scarp x16.mp3  Call ID by: NMcK,"Augustus Island, site 7. Flowing creek adjacent to Pkw creek scarp",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,22 May 2008,Miniopterus,schreibersii,Miniopterus schreibersii,-15.34611,124.53056,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is May08 x16.mp3  Tape2 AN Start     Call ID by: NMcK,"Augustus I. N valley, site 5. Pkw boulder valley at confluence of 2 creeks; big lillipond pools & riparian paperbark",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,23 May 2008,Miniopterus,schreibersii,Miniopterus schreibersii,-15.34611,124.53083,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is 23May08 ANStart x16.mp3  Call ID by: NMcK,"Augustus I. N valley, site 5. Pkw boulder valley at confluence of 2 creeks; big lillipond pools & riparian paperbark",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,31 May 2008,Miniopterus,schreibersii,Miniopterus schreibersii,-15.38861,124.59278,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is site2 31May2008 LGibson tall paperbarks on waterhole x16.mp7  Call ID by: NMcK,"Augustus Island, site 6. Tall paperbarks on waterhole in creek between Pkw hills",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,12 Feb 2009,Miniopterus,schreibersii,Miniopterus schreibersii,-15.38889,124.59250,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is site2 12Feb09 X16.wav  Call ID by: RB,"Augustus Island, site 9. Flowing creek line through low veg, otherwise open",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,22 May 2008,Mormopterus,beccarii,Mormopterus beccarii,-15.34611,124.53056,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is May08 x16.mp3  Tape2 AN Start     Call ID by: NMcK,"Augustus I. N valley, site 5. Pkw boulder valley at confluence of 2 creeks; big lillipond pools & riparian paperbark",MAMMALIA,CHIROPTERA,MOLOSSIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,31 May 2008,Myotis,macropus,Myotis macropus,-15.38861,124.59278,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is site2 31May2008 LGibson tall paperbarks on waterhole x16.mp5  Call ID by: NMcK,"Augustus Island, site 6. Tall paperbarks on waterhole in creek between Pkw hills",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,01 Jun 2008,Saccolaimus,flaviventris,Saccolaimus flaviventris,-15.38972,124.59306,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is site 2 1June08 LGibson flowing creek scarp x16.mp3  Call ID by: NMcK,"Augustus Island, site 7. Flowing creek adjacent to Pkw creek scarp",MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,22 May 2008,Saccolaimus,flaviventris,Saccolaimus flaviventris,-15.34611,124.53056,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is May08 x16.mp3  Tape2 AN Start     Call ID by: NMcK,"Augustus I. N valley, site 5. Pkw boulder valley at confluence of 2 creeks; big lillipond pools & riparian paperbark",MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,23 May 2008,Saccolaimus,flaviventris,Saccolaimus flaviventris,-15.34611,124.53083,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is 23May08 ANStart x16.mp3  Call ID by: NMcK,"Augustus I. N valley, site 5. Pkw boulder valley at confluence of 2 creeks; big lillipond pools & riparian paperbark",MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,31 May 2008,Saccolaimus,flaviventris,Saccolaimus flaviventris,-15.38861,124.59278,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is site2 31May2008 LGibson tall paperbarks on waterhole x16.mp8  Call ID by: NMcK,"Augustus Island, site 6. Tall paperbarks on waterhole in creek between Pkw hills",MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,23 May 2008,Scotorepens,greyi,Scotorepens greyi,-15.34611,124.53083,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is 23May08 ANStart x16.mp3  Call ID by: NMcK,"Augustus I. N valley, site 5. Pkw boulder valley at confluence of 2 creeks; big lillipond pools & riparian paperbark",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,01 Jun 2008,Taphozous,georgianus,Taphozous georgianus,-15.38972,124.59306,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is site 2 1June08 LGibson flowing creek scarp x16.mp3  Call ID by: NMcK,"Augustus Island, site 7. Flowing creek adjacent to Pkw creek scarp",MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,22 May 2008,Taphozous,georgianus,Taphozous georgianus,-15.34611,124.53056,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is May08 x16.mp3  Tape2 AN Start     Call ID by: NMcK,"Augustus I. N valley, site 5. Pkw boulder valley at confluence of 2 creeks; big lillipond pools & riparian paperbark",MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,23 May 2008,Taphozous,georgianus,Taphozous georgianus,-15.34611,124.53083,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is 23May08 ANStart x16.mp3  Call ID by: NMcK,"Augustus I. N valley, site 5. Pkw boulder valley at confluence of 2 creeks; big lillipond pools & riparian paperbark",MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,31 May 2008,Taphozous,georgianus,Taphozous georgianus,-15.38861,124.59278,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is site2 31May2008 LGibson tall paperbarks on waterhole x16.mp9  Call ID by: NMcK,"Augustus Island, site 6. Tall paperbarks on waterhole in creek between Pkw hills",MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,12 Feb 2009,Taphozous,georgianus,Taphozous georgianus,-15.38889,124.59250,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is site2 12Feb09 X16.wav  Call ID by: RB,"Augustus Island, site 9. Flowing creek line through low veg, otherwise open",MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,22 May 2008,Vespadelus,caurinus,Vespadelus caurinus,-15.34611,124.53056,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is May08 x16.mp3  Tape2 AN Start     Call ID by: NMcK,"Augustus I. N valley, site 5. Pkw boulder valley at confluence of 2 creeks; big lillipond pools & riparian paperbark",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,23 May 2008,Vespadelus,caurinus,Vespadelus caurinus,-15.34611,124.53083,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is 23May08 ANStart x16.mp3  Call ID by: NMcK,"Augustus I. N valley, site 5. Pkw boulder valley at confluence of 2 creeks; big lillipond pools & riparian paperbark",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Augustus ,31 May 2008,Vespadelus,douglasorum,Vespadelus douglasorum,-15.38861,124.59278,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Augustus Is site2 31May2008 LGibson tall paperbarks on waterhole x16.mp10  Call ID by: NMcK,"Augustus Island, site 6. Tall paperbarks on waterhole in creek between Pkw hills",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Bigge ,30 Jul 2007,Hipposideros,ater,Hipposideros ater,-14.58861,125.18556,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Bigge Is camp1 30July07 X16.mp3  Call ID by: RB&NMcK,"Bigge Island, site 12. Pdh creek line between Pkl hills & 0.21km  behind mangrove inlet",MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Bigge ,01 Aug 2007,Hipposideros,stenotis,Hipposideros stenotis,-14.58528,125.10278,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Bigge Is camp2 1Aug07 x16.mp3  Call ID by: NMcK,"Bigge Island, site 11. Pkl valley on edge of alluvial valley 200m east of camp2",MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Bigge ,30 Jul 2007,Hipposideros,stenotis,Hipposideros stenotis,-14.58861,125.18556,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Bigge Is camp1 30July07 X16.mp3  Call ID by: RB&NMcK,"Bigge Island, site 12. Pdh creek line between Pkl hills & 0.21km  behind mangrove inlet",MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Bigge ,01 Aug 2007,Miniopterus,schreibersii,Miniopterus schreibersii,-14.58528,125.10278,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Bigge Is camp2 1Aug07 x16.mp3  Call ID by: NMcK,"Bigge Island, site 11. Pkl valley on edge of alluvial valley 200m east of camp2",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Bigge ,29 Jul 2007,Miniopterus,schreibersii,Miniopterus schreibersii,-14.58806,125.18417,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Bigge Is camp1 29Jul07.wav  Call ID by: NMcK,"Bigge Island, site 10. Camp1, Pkl cliff overlooking flowing creek with melateucas & pandanas",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Bigge ,30 Jul 2007,Miniopterus,schreibersii,Miniopterus schreibersii,-14.58861,125.18556,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Bigge Is camp1 30July07 X16.mp3  Call ID by: RB&NMcK,"Bigge Island, site 12. Pdh creek line between Pkl hills & 0.21km  behind mangrove inlet",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Bigge ,01 Aug 2007,Pipistrellus,westralis,Pipistrellus westralis,-14.58528,125.10278,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Bigge Is camp2 1Aug07 x16.mp3  Call ID by: NMcK,"Bigge Island, site 11. Pkl valley on edge of alluvial valley 200m east of camp2",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Bigge ,30 Jul 2007,Rhinonicteris,aurantia,Rhinonicteris aurantia,-14.58861,125.18556,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Bigge Is camp1 30July07 X16.mp3  Call ID by: RB&NMcK,"Bigge Island, site 12. Pdh creek line between Pkl hills & 0.21km  behind mangrove inlet",MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Bigge ,30 Jul 2007,Rhinonicteris,aurantia,Rhinonicteris aurantia,-14.58861,125.18556,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Bigge Is camp1 30July07 X16.mp3  Call ID by: RB&NMcK,"Bigge Island, site 12. Pdh creek line between Pkl hills & 0.21km  behind mangrove inlet",MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
